_vocab,finance,sports,medicine,technology
wall,0.6702931523323059,0.6925073862075806,0.6846882104873657,0.6751582026481628
dwindling,0.6662552952766418,0.7788981199264526,0.7473627328872681,0.628963828086853
band,0.667709469795227,0.6683111786842346,0.7315847277641296,0.6582021713256836
seeing,0.6669752597808838,0.6910635232925415,0.7243552803993225,0.6828694343566895
green,0.5832679867744446,0.6802730560302734,0.663907527923584,0.6915056109428406
private,0.6624354124069214,0.6966857314109802,0.7007421851158142,0.6758379340171814
investment,0.6728945374488831,0.6633027791976929,0.6726604700088501,0.5985246300697327
firm,0.6753299236297607,0.6458736062049866,0.7022141218185425,0.649940013885498
carlyle,0.6184006929397583,0.673618495464325,0.708663821220398,0.6718242168426514
reputation,0.6393299102783203,0.7290282845497131,0.742746114730835,0.6774352788925171
making,0.6444740295410156,0.6620899438858032,0.6776459217071533,0.6004868149757385
occasionally,0.6674576997756958,0.7069599628448486,0.7531278729438782,0.6724330186843872
controversial,0.6820719838142395,0.6676543951034546,0.711137592792511,0.6147814989089966
plays,0.6292376518249512,0.6981083154678345,0.7247875928878784,0.7202083468437195
defense,0.6485010981559753,0.7228071093559265,0.6770563721656799,0.6729184985160828
quietly,0.6603125333786011,0.6996564269065857,0.7337138056755066,0.6738431453704834
placed,0.6583468914031982,0.6999861001968384,0.6952522397041321,0.6519646644592285
bets,0.679357647895813,0.7304648160934448,0.7310737371444702,0.6747515797615051
another,0.6779251098632812,0.6713162660598755,0.6821146011352539,0.681759238243103
part,0.6073306202888489,0.6626428365707397,0.6391485929489136,0.670494556427002
soaring,0.7316396236419678,0.7163342237472534,0.7350011467933655,0.6690140962600708
crude,0.6387422680854797,0.697878360748291,0.666969358921051,0.6297295689582825
prices,0.5902890563011169,0.6786805987358093,0.6288451552391052,0.6560437679290771
plus,0.6821104884147644,0.6922190189361572,0.7369466423988342,0.6895928382873535
worries,0.6667259335517883,0.7036216855049133,0.7241083979606628,0.6700770258903503
economy,0.5955812931060791,0.645069420337677,0.6542031764984131,0.6040478348731995
outlook,0.5972252488136292,0.6964062452316284,0.6796332597732544,0.6691598892211914
earnings,0.6066420078277588,0.6980048418045044,0.6811639070510864,0.6291816830635071
expected,0.6243870258331299,0.6785893440246582,0.7114238142967224,0.5922015309333801
hang,0.6722788214683533,0.7039201259613037,0.761042058467865,0.6367303729057312
stock,0.6338661909103394,0.6576764583587646,0.6583489775657654,0.6715668439865112
market,0.6379484534263611,0.6439818739891052,0.639977216720581,0.632914125919342
next,0.6504926085472107,0.6415980458259583,0.6343010663986206,0.6686742901802063
week,0.5847440958023071,0.6552848815917969,0.6256227493286133,0.6040315628051758
depth,0.6344975233078003,0.722459614276886,0.7421888709068298,0.6491206288337708
summer,0.627106785774231,0.6862199902534485,0.689229428768158,0.6526241302490234
authorities,0.6797884702682495,0.6708597540855408,0.6926692724227905,0.6506102681159973
halted,0.6838234663009644,0.756934404373169,0.7398519515991211,0.6822279691696167
oil,0.6061655282974243,0.6425906419754028,0.6500018835067749,0.6418500542640686
export,0.7006474733352661,0.7069333791732788,0.7168313264846802,0.6629540324211121
flows,0.6432605981826782,0.6968826055526733,0.7215754389762878,0.6915779709815979
main,0.6237780451774597,0.6858310103416443,0.6911215782165527,0.6509411334991455
pipeline,0.6440263986587524,0.6423078179359436,0.7031067609786987,0.6437700986862183
southern,0.6814717054367065,0.663997232913971,0.7070943713188171,0.67556232213974
iraq,0.718970775604248,0.6479546427726746,0.7002850770950317,0.647232174873352
intelligence,0.5942944884300232,0.6662804484367371,0.6929678320884705,0.6982185244560242
showed,0.6590772867202759,0.6631069779396057,0.6872178912162781,0.6929851770401001
rebel,0.6380211114883423,0.6670778393745422,0.6881396770477295,0.5973924398422241
militia,0.6590451598167419,0.7263998985290527,0.7289447784423828,0.6628515720367432
could,0.6050952672958374,0.7268667221069336,0.6566950082778931,0.6003465056419373
strike,0.6631718873977661,0.6751828789710999,0.7155730724334717,0.664215087890625
official,0.6721288561820984,0.6584078669548035,0.6859501600265503,0.6605201363563538
said,0.5907118320465088,0.6648288369178772,0.6000679731369019,0.644895076751709
world,0.622397243976593,0.6517305970191956,0.6499271988868713,0.6033350229263306
toppling,0.6654711365699768,0.7421237826347351,0.7439724802970886,0.6690800786018372
records,0.6202759146690369,0.7011687159538269,0.7073325514793396,0.6608235239982605
straining,0.6750593781471252,0.709965169429779,0.7539799809455872,0.6514193415641785
present,0.6669960618019104,0.741173505783081,0.7320412397384644,0.6606360673904419
new,0.5913517475128174,0.7176041603088379,0.6082074046134949,0.6333142518997192
economic,0.6234787702560425,0.6282793283462524,0.6430423259735107,0.6041968464851379
menace,0.6797892451286316,0.7441599369049072,0.7377124428749084,0.6661235094070435
barely,0.6715999841690063,0.7465304136276245,0.7139135003089905,0.65131014585495
three,0.6571981310844421,0.673751711845398,0.6655574440956116,0.6477460861206055
months,0.6224842071533203,0.6608518362045288,0.72784823179245,0.6568810939788818
us,0.6068564653396606,0.6188803315162659,0.6517168879508972,0.5900903940200806
presidential,0.6709454655647278,0.6405672430992126,0.7202475666999817,0.615705132484436
stocks,0.5856592059135437,0.7172917127609253,0.6532261371612549,0.6103488206863403
ended,0.6768554449081421,0.6387711763381958,0.7095226049423218,0.6894758939743042
slightly,0.6796271800994873,0.7084116339683533,0.7206007838249207,0.6466405391693115
higher,0.688324511051178,0.7185797095298767,0.7050422430038452,0.6559243202209473
friday,0.586330235004425,0.6236268877983093,0.6646263003349304,0.6384647488594055
stayed,0.6369547247886658,0.6952734589576721,0.7323936223983765,0.6746660470962524
near,0.6729640960693359,0.6642032265663147,0.663043200969696,0.6171681880950928
lows,0.5867952108383179,0.7154343724250793,0.7181842923164368,0.6937137246131897
year,0.6680100560188293,0.6178096532821655,0.6762673258781433,0.5848963260650635
surged,0.6594095230102539,0.683175802230835,0.7186853885650635,0.6753689646720886
past,0.6153081059455872,0.6700860857963562,0.6445432901382446,0.6347412467002869
offsetting,0.6741511225700378,0.7327475547790527,0.7512346506118774,0.6765689253807068
positive,0.6837174296379089,0.6703742742538452,0.7134569883346558,0.6577905416488647
computer,0.6390309929847717,0.6829832792282104,0.6668729186058044,0.6640117168426514
maker,0.5914636254310608,0.6819238066673279,0.6128501296043396,0.607717752456665
dell,0.6422906517982483,0.7254980206489563,0.7293230891227722,0.6939654350280762
assets,0.6508559584617615,0.6846076846122742,0.7138605117797852,0.6652768850326538
retail,0.6227688789367676,0.6318240165710449,0.6615620851516724,0.6500626802444458
money,0.6683638691902161,0.7313924431800842,0.6951791644096375,0.6521258354187012
mutual,0.7051880955696106,0.6923577189445496,0.7381457090377808,0.6365699172019958
funds,0.6268661618232727,0.6893213391304016,0.6946936845779419,0.6330487728118896
fell,0.6419581770896912,0.6833716034889221,0.6609196066856384,0.5942849516868591
billion,0.6373435258865356,0.6698690056800842,0.6931391954421997,0.5966525077819824
latest,0.6292866468429565,0.6771529316902161,0.694952666759491,0.6687747240066528
company,0.6080520153045654,0.6990869045257568,0.6518736481666565,0.675517737865448
institute,0.6676629185676575,0.6810671091079712,0.7414714097976685,0.684276819229126
sales,0.6643360257148743,0.6778249740600586,0.6866834759712219,0.6455107927322388
bounced,0.6822324991226196,0.7191386222839355,0.7553945779800415,0.6755943894386292
back,0.6664043068885803,0.6500259041786194,0.6721588969230652,0.6079820990562439
bit,0.6273905634880066,0.658299446105957,0.6842724680900574,0.5872596502304077
claims,0.6127428412437439,0.6958762407302856,0.6687600016593933,0.6295559406280518
jobless,0.6183203458786011,0.7186497449874878,0.7183366417884827,0.6537404656410217
benefits,0.6796314716339111,0.6547250151634216,0.7310213446617126,0.6684872508049011
last,0.5788121819496155,0.6713765859603882,0.6113893985748291,0.6441012620925903
government,0.6528735160827637,0.6167632341384888,0.6474265456199646,0.6338745951652527
indicating,0.6757411360740662,0.6684561371803284,0.7115391492843628,0.6437997817993164
improving,0.7082386612892151,0.7355034351348877,0.7598418593406677,0.6564564108848572
earning,0.6785079836845398,0.694580078125,0.7378413081169128,0.6741649508476257
danny,0.6998056173324585,0.6942342519760132,0.7443764805793762,0.6763219833374023
riley,0.6887750625610352,0.7356538772583008,0.7388042211532593,0.6849781274795532
started,0.6172708868980408,0.694604218006134,0.6893118023872375,0.6720937490463257
work,0.6660230755805969,0.6275243163108826,0.6592179536819458,0.6606523394584656
general,0.6682384610176086,0.6070446372032166,0.6939181089401245,0.597046971321106
manager,0.6327152252197266,0.707410991191864,0.677789568901062,0.6444807052612305
commercial,0.6611389517784119,0.6986045837402344,0.7247230410575867,0.6329662799835205
real,0.6874458193778992,0.7073198556900024,0.6889252066612244,0.600078284740448
estate,0.6676689982414246,0.7283068299293518,0.7365440726280212,0.6637770533561707
annual,0.7132735848426819,0.7006548643112183,0.7398857474327087,0.6592523455619812
base,0.6325035095214844,0.7414382100105286,0.6725866198539734,0.6541629433631897
salary,0.6706438064575195,0.7266982793807983,0.7528131008148193,0.6580996513366699
soon,0.5852632522583008,0.6144751906394958,0.6262490749359131,0.6004488468170166
financial,0.6009821891784668,0.7193954586982727,0.65202796459198,0.619706392288208
planner,0.6373955607414246,0.7235835790634155,0.7009065747261047,0.6267716288566589
stopped,0.6369795203208923,0.7210264801979065,0.7434960007667542,0.6300595998764038
desk,0.6755635142326355,0.7478945851325989,0.7366650700569153,0.6744423508644104
drop,0.6288424730300903,0.7104408740997314,0.7179896831512451,0.692343533039093
insurance,0.625652551651001,0.73634934425354,0.7000420093536377,0.6474506855010986
available,0.6381968855857849,0.6328860521316528,0.6834738254547119,0.6014255285263062
furthest,0.6392910480499268,0.7013315558433533,0.7147828936576843,0.6809369325637817
thing,0.6651604771614075,0.6726244688034058,0.7214562892913818,0.6712460517883301
says,0.6156446933746338,0.6238861083984375,0.6280799508094788,0.6082242727279663
opec,0.6682608127593994,0.747166097164154,0.7109138369560242,0.6321021318435669
nothing,0.6551151871681213,0.6677306890487671,0.7243825793266296,0.6843361258506775
douse,0.6979858875274658,0.7299781441688538,0.7285460829734802,0.6615680456161499
scorching,0.6876205801963806,0.7064517140388489,0.7525752782821655,0.6710986495018005
markets,0.6025789380073547,0.6619322299957275,0.6733172535896301,0.705599308013916
already,0.5894719958305359,0.7432924509048462,0.655401885509491,0.638362467288971
million,0.6211998462677002,0.7235305309295654,0.6354266405105591,0.6674605011940002
barrels,0.7075068354606628,0.6913812756538391,0.696886420249939,0.6560962796211243
per,0.5707250237464905,0.6458102464675903,0.6366997957229614,0.6651646494865417
day,0.6105468273162842,0.5919456481933594,0.6450526714324951,0.65147465467453
governor,0.6726198792457581,0.6787908673286438,0.7092217206954956,0.6607666611671448
warning,0.6385542154312134,0.7143089175224304,0.6932705044746399,0.672400951385498
fall,0.6585922837257385,0.7090670466423035,0.6867080926895142,0.6497099995613098
exporters,0.68088299036026,0.7190262675285339,0.7326251864433289,0.656327486038208
consider,0.6397671699523926,0.6747878193855286,0.7139413356781006,0.6891809105873108
increasing,0.652988076210022,0.7199772000312805,0.693615198135376,0.6626668572425842
output,0.6601596474647522,0.6829402446746826,0.7228511571884155,0.6395958662033081
cool,0.7186311483383179,0.6929322481155396,0.7221699953079224,0.6568843722343445
record,0.663267970085144,0.6389742493629456,0.6651869416236877,0.5940137505531311
president,0.60546875,0.6586565971374512,0.6361497044563293,0.5934144258499146
purnomo,0.6586177945137024,0.7279722690582275,0.7334185242652893,0.6610947251319885
yusgiantoro,0.6776912808418274,0.72272789478302,0.7486799359321594,0.6564117670059204
auction,0.6273506283760071,0.7191316485404968,0.6916205883026123,0.7080438733100891
google,0.6110773682594299,0.6896830201148987,0.6824856996536255,0.6764094829559326
highly,0.6755133867263794,0.7628133296966553,0.7298584580421448,0.689430832862854
anticipated,0.6414573788642883,0.7226182222366333,0.7201430201530457,0.6769804954528809
initial,0.6224915981292725,0.6593030095100403,0.6737027168273926,0.6625664234161377
public,0.6510258316993713,0.6988862156867981,0.7001141309738159,0.6420671939849854
offering,0.6324753165245056,0.7208990454673767,0.6852306723594666,0.6834654211997986
got,0.5926298499107361,0.6654208302497864,0.6708818078041077,0.6847656965255737
rocky,0.6714649796485901,0.6925503015518188,0.7445279955863953,0.6665882468223572
start,0.6211884617805481,0.7263954877853394,0.696170449256897,0.6213885545730591
web,0.6184480786323547,0.6891758441925049,0.6559228897094727,0.6471449732780457
search,0.6698965430259705,0.6880007386207581,0.6859339475631714,0.656503438949585
sidestepped,0.6650205850601196,0.7299891114234924,0.7230954170227051,0.6748685836791992
bullet,0.6785857677459717,0.7388253211975098,0.7426167130470276,0.6292650103569031
securities,0.6644209027290344,0.6479329466819763,0.7022857666015625,0.6698694229125977
dollar,0.6640927791595459,0.7010177969932556,0.6449776291847229,0.6190356612205505
tumbled,0.668384850025177,0.7330050468444824,0.7608476877212524,0.6293987035751343
broadly,0.6690669059753418,0.7438321113586426,0.7417241930961609,0.708840548992157
data,0.6621303558349609,0.6721480488777161,0.6849253177642822,0.6409331560134888
showing,0.6536409854888916,0.6607097387313843,0.6863939166069031,0.6272484660148621
trade,0.6279232501983643,0.6097726225852966,0.6080413460731506,0.6516721844673157
deficit,0.676716148853302,0.7229236960411072,0.7422168850898743,0.6333044171333313
june,0.6235273480415344,0.7015716433525085,0.6903197169303894,0.6413453817367554
cast,0.6329555511474609,0.6732094287872314,0.6942983865737915,0.67019122838974
fresh,0.6573559045791626,0.6983502507209778,0.7269792556762695,0.6799060106277466
doubts,0.6966067552566528,0.7293914556503296,0.7431796193122864,0.6938820481300354
recovery,0.6604942083358765,0.712236762046814,0.6920318603515625,0.702139139175415
ability,0.7005812525749207,0.7077194452285767,0.7084050178527832,0.6415104269981384
draw,0.7003309726715088,0.6807072162628174,0.7131810784339905,0.6315274238586426
foreign,0.6327104568481445,0.7027808427810669,0.6994917392730713,0.6404909491539001
capital,0.6074003577232361,0.6488368511199951,0.6995313167572021,0.6620057821273804
fund,0.6346167325973511,0.6953862309455872,0.6954728960990906,0.6957960724830627
growing,0.6790729761123657,0.6607464551925659,0.686960756778717,0.6866909265518188
,0.45172208547592163,0.4901459217071533,0.4553777277469635,0.49828416109085083
season,0.6420654058456421,0.6587806940078735,0.6552098989486694,0.6439257860183716
become,0.6374288201332092,0.7111959457397461,0.6994115710258484,0.6672775149345398
huge,0.5863072276115417,0.6492509245872498,0.6834285259246826,0.6710379719734192
marketing,0.6603142619132996,0.710355281829834,0.6967402696609497,0.6829862594604492
focused,0.6877284049987793,0.7191265225410461,0.7060866355895996,0.6724383234977722
